Source Information: 

Fies2015v2.dcf
FIES2015V2.puf

(ID Items)
 
w_regn            Region         
totvegother       Other Vegetables (other) Expenditure         
cotvegother       Other Vegetables (other) In Cash         
kotvegother       Other Vegetables (other) In Kind         
gotvegother       Other Vegetables (other) Received as Gifts         
taccomodation     Restaurant and hotels (accomodation services) Expenditure         
caccomodation     Restaurant and hotels (accomodation services) In Cash         
kaccomodation     Restaurant and hotels (accomodation services) In Kind         
gaccomodation     Restaurant and hotels (accomodation services) Received as Gifts         
tclothfootwear    Clothing, Footwear and Other Wear Expenditure         
cclothfootwear    Clothing, Footwear and Other Wear In Cash         
gclothfootwear    Clothing, Footwear and Other Wear Received as Gifts         
tcloth            Clothing, Footwear and Other Wear (clothing) Expenditure         
ccloth            Clothing, Footwear and Other Wear (clothing) In Cash         
gcloth            Clothing, Footwear and Other Wear (clothing) Received as Gifts         
tclothmat         Clothing, Footwear and Other Wear (clothing material) Expenditure         
cclothmat         Clothing, Footwear and Other Wear (clothing material) In Cash         
gclothmat         Clothing, Footwear and Other Wear (clothing material) Received as Gifts         
tcgarment         Clothing, Footwear and Other Wear (garment) Expenditure         
ccgarment         Clothing, Footwear and Other Wear (garment) In Cash         
gcgarment         Clothing, Footwear and Other Wear (garment) Received as Gifts         
tcgarmentmen      Clothing, Footwear and Other Wear (garment - men) Expenditure         
ccgarmentmen      Clothing, Footwear and Other Wear (garment - men) In Cash         
gcgarmentmen      Clothing, Footwear and Other Wear (garment - men) Received as Gifts         
tcgarmentwomen    Clothing, Footwear and Other Wear (garment - women) Expenditure         
ccgarmentwomen    Clothing, Footwear and Other Wear (garment - women) In Cash         
gcgarmentwomen    Clothing, Footwear and Other Wear (garment - women) Received as Gifts         
tcgarboysb10      Clothing, Footwear and Other Wear (garment - boys below 10) Expenditure         
ccgarboysb10      Clothing, Footwear and Other Wear (garment - boys below 10) In Cash         
gcgarboysb10      Clothing, Footwear and Other Wear (garment - boys below 10) Received as Gifts         
tcgarboysb1017    Clothing, Footwear and Other Wear (garment - boys 10 to 17) Expenditure         
ccgarboysb1017    Clothing, Footwear and Other Wear (garment - boys 10 to 17) In Cash         
gcgarboysb1017    Clothing, Footwear and Other Wear (garment - boys 10 to 17) Received as Gifts         
tcgargirlsb10     Clothing, Footwear and Other Wear (garment - girls below 10) Expenditure         
ccgargirlsb10     Clothing, Footwear and Other Wear (garment - girls below 10) In Cash         
gcgargirlsb10     Clothing, Footwear and Other Wear (garment - girls below 10) Received as Gifts         
tcgargirls1017    Clothing, Footwear and Other Wear (garment - girls 10 to 17) Expenditure         
ccgargirls1017    Clothing, Footwear and Other Wear (garment - girls 10 to 17) In Cash         
gcgargirls1017    Clothing, Footwear and Other Wear (garment - girls 10 to 17) Received as Gifts         
tcgarinfant       Clothing, Footwear and Other Wear (garment - infant) Expenditure         
ccgarinfant       Clothing, Footwear and Other Wear (garment - infant) In Cash         
gcgarinfant       Clothing, Footwear and Other Wear (garment - infant) Received as Gifts         
tcgarsports       Clothing, Footwear and Other Wear (garment - sports) Expenditure         
ccgarsports       Clothing, Footwear and Other Wear (garment - sports) In Cash         
gcgarsports       Clothing, Footwear and Other Wear (garment - sports) Received as Gifts         
tcgarother        Clothing, Footwear and Other Wear (garment - other) Expenditure         
ccgarother        Clothing, Footwear and Other Wear (garment - other) In Cash         
gcgarother        Clothing, Footwear and Other Wear (garment - other) Received as Gifts         
tcotherart        Clothing, Footwear and Other Wear (other articles of clothing) Expenditure         
ccotherart        Clothing, Footwear and Other Wear (other articles of clothing) In Cash         
gcotherart        Clothing, Footwear and Other Wear (other articles of clothing) Received as Gifts         
tcotherties       Clothing, Footwear and Other Wear (other articles of clothing - ties) Expenditur         
ccotherties       Clothing, Footwear and Other Wear (other articles of clothing - ties) In Cash         
gcotherties       Clothing, Footwear and Other Wear (other articles of clothing - ties) Received a         
tcotherhelmet     Clothing, Footwear and Other Wear (other articles of clothing - crash helmet) Ex         
ccotherhelmet     Clothing, Footwear and Other Wear (other articles of clothing - crash helmet) In         
gcotherhelmet     Clothing, Footwear and Other Wear (other articles of clothing - crash helmet) Re         
tcothersew        Clothing, Footwear and Other Wear (other articles of clothing - sewing thread) E         
ccothersew        Clothing, Footwear and Other Wear (other articles of clothing - sewing thread) I         
gcothersew        Clothing, Footwear and Other Wear (other articles of clothing - sewing thread) R         
tcartother        Clothing, Footwear and Other Wear (other articles of clothing - other) Expenditu         
ccartother        Clothing, Footwear and Other Wear (other articles of clothing - other) In Cash         
gcartother        Clothing, Footwear and Other Wear (other articles of clothing - other) Received          
tccleaning        Clothing, Footwear and Other Wear (cleaning, repair and hire clothing) Expenditu         
cccleaning        Clothing, Footwear and Other Wear (cleaning, repair and hire clothing) In Cash         
gccleaning        Clothing, Footwear and Other Wear (cleaning, repair and hire clothing) Received          
tccleandry        Clothing, Footwear and Other Wear (cleaning, repair and hire clothing - dry clea         
cccleandry        Clothing, Footwear and Other Wear (cleaning, repair and hire clothing - dry clea         
gccleandry        Clothing, Footwear and Other Wear (cleaning, repair and hire clothing - dry clea         
tccleandarning    Clothing, Footwear and Other Wear (cleaning, repair and hire clothing - darning)         
cccleandarning    Clothing, Footwear and Other Wear (cleaning, repair and hire clothing - darning)         
gccleandarning    Clothing, Footwear and Other Wear (cleaning, repair and hire clothing - darning)         
tccleanhire       Clothing, Footwear and Other Wear (cleaning, repair and hire clothing - hire of          
cccleanhire       Clothing, Footwear and Other Wear (cleaning, repair and hire clothing - hire of          
gccleanhire       Clothing, Footwear and Other Wear (cleaning, repair and hire clothing - hire of          
tfootwear         Clothing, Footwear and Other Wear (shoes and footwear) Expenditure         
cfootwear         Clothing, Footwear and Other Wear (shoes and footwear) In Cash         
gfootwear         Clothing, Footwear and Other Wear (shoes and footwear) Received as Gifts         
tshoes            Clothing, Footwear and Other Wear (shoes and footwear - shoes) Expenditure         
cshoes            Clothing, Footwear and Other Wear (shoes and footwear - shoes) In Cash         
gshoes            Clothing, Footwear and Other Wear (shoes and footwear - shoes) Received as Gifts         
tfootwearmen      Clothing, Footwear and Other Wear (shoes and footwear - men) Expenditure         
cfootwearmen      Clothing, Footwear and Other Wear (shoes and footwear - men) In Cash         
gfootwearmen      Clothing, Footwear and Other Wear (shoes and footwear - men) Received as Gifts         
tfootwearwomen    Clothing, Footwear and Other Wear (shoes and footwear - women) Expenditure         
cfootwearwomen    Clothing, Footwear and Other Wear (shoes and footwear - women) In Cash         
gfootwearwomen    Clothing, Footwear and Other Wear (shoes and footwear - women) Received as Gifts         
tfootwearchildren Clothing, Footwear and Other Wear (shoes and footwear - children) Expenditure         
cfootwearchildren Clothing, Footwear and Other Wear (shoes and footwear - children) In Cash         
gfootwearchildren Clothing, Footwear and Other Wear (shoes and footwear - children) Received as Gi         
tfootwearinfant   Clothing, Footwear and Other Wear (shoes and footwear - infant) Expenditure         
cfootwearinfant   Clothing, Footwear and Other Wear (shoes and footwear - infant) In Cash         
gfootwearinfant   Clothing, Footwear and Other Wear (shoes and footwear - infant) Received as Gift         
tfootwearparts    Clothing, Footwear and Other Wear (shoes and footwear - parts of footwear) Expen         
cfootwearparts    Clothing, Footwear and Other Wear (shoes and footwear - parts of footwear) In Ca         
gfootwearparts    Clothing, Footwear and Other Wear (shoes and footwear - parts of footwear) Recei         
tfootwearrepair   Clothing, Footwear and Other Wear (shoes and footwear - repair) Expenditure         
cfootwearrepair   Clothing, Footwear and Other Wear (shoes and footwear - repair) In Cash         
gfootwearrepair   Clothing, Footwear and Other Wear (shoes and footwear - repair) Received as Gift         
thousingwater     Housing and water Expenditure         
chousingwater     Housing and water In Cash         
khousingwater     Housing and water In Kind         
ghousingwater     Housing and water Received as Gifts         
trentval          Housing and water (rentals) Expenditure         
crentval          Housing and water (rentals) In Cash         
grentval          Housing and water (rentals) Received as Gifts         
tractualrent      Housing and water (actual rentals) Expenditure         
cractualrent      Housing and water (actual rentals) In Cash         
gractualrent      Housing and water (actual rentals) Received as Gifts         
tactrent          Housing and water (actual rentals - paid) Expenditure         
cactrent          Housing and water (actual rentals - paid) In Cash         
gactrent          Housing and water (actual rentals - paid) Received as Gifts         
tactrentother     Housing and water (actual rentals - other) Expenditure         
cactrentother     Housing and water (actual rentals - other) In Cash         
gactrentother     Housing and water (actual rentals - other) Received as Gifts         
timputedrent      Housing and water (imputed rentals) Expenditure         
cimputedrent      Housing and water (imputed rentals) In Cash         
gimputedrent      Housing and water (imputed rentals) Received as Gifts         
timprent          Housing and water (imputed rentals - imputed) Expenditure         
cimprent          Housing and water (imputed rentals - imputed) In Cash         
gimprent          Housing and water (imputed rentals - imputed) Received as Gifts         
timprentother     Housing and water (imputed rentals - other) Expenditure         
cimprentother     Housing and water (imputed rentals - other) In Cash         
gimprentother     Housing and water (imputed rentals - other) Received as Gifts         
tmaintenance      Housing and water (maintenance and repair) Expenditure         
cmaintenance      Housing and water (maintenance and repair) In Cash         
gmaintenance      Housing and water (maintenance and repair) Received as Gifts         
tmaintmaterial    Housing and water (maintenance and repair - materials) Expenditure         
cmaintmaterial    Housing and water (maintenance and repair - materials) In Cash         
gmaintmaterial    Housing and water (maintenance and repair - materials) Received as Gifts         
tmaintservice     Housing and water (maintenance and repair - services) Expenditure         
cmaintservice     Housing and water (maintenance and repair - services) In Cash         
gmaintservice     Housing and water (maintenance and repair - services) Received as Gifts         
twatermisc        Housing and water (water supply and miscellaneous services) Expenditure         
cwatermisc        Housing and water (water supply and miscellaneous services) In Cash         
gwatermisc        Housing and water (water supply and miscellaneous services) Received as Gifts         
twatersupply      Housing and water (water supply and miscellaneous services - water supply) Expen         
cwatersupply      Housing and water (water supply and miscellaneous services - water supply) In Ca         
gwatersupply      Housing and water (water supply and miscellaneous services - water supply) Recei         
twaterother       Housing and water (water supply and miscellaneous services - other services) Exp         
cwaterother       Housing and water (water supply and miscellaneous services - other services) In          
gwaterother       Housing and water (water supply and miscellaneous services - other services) Rec         
telectgas         Housing and water (electricity, gas and other fuels) Expenditure         
celectgas         Housing and water (electricity, gas and other fuels) In Cash         
kelectgas         Housing and water (electricity, gas and other fuels) In Kind         
gelectgas         Housing and water (electricity, gas and other fuels) Received as Gifts         
telectricity      Housing and water (electricity, gas and other fuels - electricity) Expenditure         
celectricity      Housing and water (electricity, gas and other fuels - electricity) In Cash         
gelectricity      Housing and water (electricity, gas and other fuels - electricity) Received as G         
tlpg              Housing and water (electricity, gas and other fuels - lpg) Expenditure         
clpg              Housing and water (electricity, gas and other fuels - lpg) In Cash         
glpg              Housing and water (electricity, gas and other fuels - lpg) Received as Gifts         
tkerosene         Housing and water (electricity, gas and other fuels - kerosene) Expenditure         
ckerosene         Housing and water (electricity, gas and other fuels - kerosene) In Cash         
gkerosene         Housing and water (electricity, gas and other fuels - kerosene) Received as Gift         
tfuelwood         Housing and water (electricity, gas and other fuels - fuelwood) Expenditure         
cfuelwood         Housing and water (electricity, gas and other fuels - fuelwood) In Cash         
kfuelwood         Housing and water (electricity, gas and other fuels - fuelwood) In Kind         
gfuelwood         Housing and water (electricity, gas and other fuels - fuelwood) Received as Gift         
tcharcoal         Housing and water (electricity, gas and other fuels - charcoal) Expenditure         
ccharcoal         Housing and water (electricity, gas and other fuels - charcoal) In Cash         
kcharcoal         Housing and water (electricity, gas and other fuels - charcoal) In Kind         
gcharcoal         Housing and water (electricity, gas and other fuels - charcoal) Received as Gift         
telecother        Housing and water (electricity, gas and other fuels - other) Expenditure         
celecother        Housing and water (electricity, gas and other fuels - other) In Cash         
kelecother        Housing and water (electricity, gas and other fuels - other) In Kind         
gelecother        Housing and water (electricity, gas and other fuels - other) Received as Gifts         
t_imputed_rent    Imputed House Rental Value         
t_bimputed_rent   Imputed Housing Benefit Rental Value         
tfurnishing       Non-Durable Furnishings Expenditure         
cfurnishing       Non-Durable Furnishings In Cash         
gfurnishing       Non-Durable Furnishings Received as Gifts         
tfurncarpet       Non-Durable Furnishings (furniture and furnishing, carpets and other) Expenditur         
cfurncarpet       Non-Durable Furnishings (furniture and furnishing, carpets and other) In Cash         
gfurncarpet       Non-Durable Furnishings (furniture and furnishing, carpets and other) Received a         
tfurniture        Non-Durable Furnishings (furniture and furnishing, carpets and other - furniture         
cfurniture        Non-Durable Furnishings (furniture and furnishing, carpets and other - furniture         
gfurniture        Non-Durable Furnishings (furniture and furnishing, carpets and other - furniture         
tcarpet           Non-Durable Furnishings (furniture and furnishing, carpets and other - carpet) E         
ccarpet           Non-Durable Furnishings (furniture and furnishing, carpets and other - carpet) I         
gcarpet           Non-Durable Furnishings (furniture and furnishing, carpets and other - carpet) R         
tfurnrepair       Non-Durable Furnishings (furniture and furnishing, carpets and other - repair) E         
cfurnrepair       Non-Durable Furnishings (furniture and furnishing, carpets and other - repair) I         
gfurnrepair       Non-Durable Furnishings (furniture and furnishing, carpets and other - repair) R         
thtextile         Non-Durable Furnishings (household textile) Expenditure         
chtextile         Non-Durable Furnishings (household textile) In Cash         
ghtextile         Non-Durable Furnishings (household textile) Received as Gifts         
thtextilefurn     Non-Durable Furnishings (household textile - furnishing) Expenditure         
chtextilefurn     Non-Durable Furnishings (household textile - furnishing) In Cash         
ghtextilefurn     Non-Durable Furnishings (household textile - furnishing) Received as Gifts         
thtextbedding     Non-Durable Furnishings (household textile - beddings) Expenditure         
chtextbedding     Non-Durable Furnishings (household textile - beddings) In Cash         
ghtextbedding     Non-Durable Furnishings (household textile - beddings) Received as Gifts         
thtextbedsheet    Non-Durable Furnishings (household textile - bedsheet) Expenditure         
chtextbedsheet    Non-Durable Furnishings (household textile - bedsheet) In Cash         
ghtextbedsheet    Non-Durable Furnishings (household textile - bedsheet) Received as Gifts         
thtextother       Non-Durable Furnishings (household textile - other) Expenditure         
chtextother       Non-Durable Furnishings (household textile - other) In Cash         
ghtextother       Non-Durable Furnishings (household textile - other) Received as Gifts         
thappliance       Non-Durable Furnishings (household appliance) Expenditure         
chappliance       Non-Durable Furnishings (household appliance) In Cash         
ghappliance       Non-Durable Furnishings (household appliance) Received as Gifts         
thappmajor        Non-Durable Furnishings (household appliance - major) Expenditure         
chappmajor        Non-Durable Furnishings (household appliance - major) In Cash         
ghappmajor        Non-Durable Furnishings (household appliance - major) Received as Gifts         
thappsmall        Non-Durable Furnishings (household appliance - small electric) Expenditure         
chappsmall        Non-Durable Furnishings (household appliance - small electric) In Cash         
ghappsmall        Non-Durable Furnishings (household appliance - small electric) Received as Gifts         
thapprepair       Non-Durable Furnishings (household appliance - repair) Expenditure         
chapprepair       Non-Durable Furnishings (household appliance - repair) In Cash         
ghapprepair       Non-Durable Furnishings (household appliance - repair) Received as Gifts         
thglassware       Non-Durable Furnishings (glassware) Expenditure         
chglassware       Non-Durable Furnishings (glassware) In Cash         
ghglassware       Non-Durable Furnishings (glassware) Received as Gifts         
thtoolsequip      Non-Durable Furnishings (tools and equipment) Expenditure         
chtoolsequip      Non-Durable Furnishings (tools and equipment) In Cash         
ghtoolsequip      Non-Durable Furnishings (tools and equipment) Received as Gifts         
thgoodsserv       Non-Durable Furnishings (goods and services) Expenditure         
chgoodsserv       Non-Durable Furnishings (goods and services) In Cash         
ghgoodsserv       Non-Durable Furnishings (goods and services) Received as Gifts         
thnondur          Non-Durable Furnishings (goods and services - nondurable) Expenditure         
chnondur          Non-Durable Furnishings (goods and services - nondurable) In Cash         
ghnondur          Non-Durable Furnishings (goods and services - nondurable) Received as Gifts         
thdomestic        Non-Durable Furnishings (goods and services - domestic and household) Expenditur         
chdomestic        Non-Durable Furnishings (goods and services - domestic and household) In Cash         
ghdomestic        Non-Durable Furnishings (goods and services - domestic and household) Received a         
t056210           Non-Durable Furnishings (domestic services) Expenditure         
c056210           Non-Durable Furnishings (domestic services) In Cash         
g056210           Non-Durable Furnishings (domestic services) In Kind         
t056212           Non-Durable Furnishings (domestic services - Cook) Expenditure         
c056212           Non-Durable Furnishings (domestic services - Cook) In Cash         
g056212           Non-Durable Furnishings (domestic services - Cook) In Kind         
t056213           Non-Durable Furnishings (domestic services - Maid) Expenditure         
c056213           Non-Durable Furnishings (domestic services - Maid) In Cash         
g056213           Non-Durable Furnishings (domestic services - Maid) In Kind         
t056214           Non-Durable Furnishings (domestic services - Driver) Expenditure         
c056214           Non-Durable Furnishings (domestic services - Driver) In Cash         
g056214           Non-Durable Furnishings (domestic services - Driver) In Kind         
t056219           Non-Durable Furnishings (domestic services - Other Domestic Srvices) Expenditure         
c056219           Non-Durable Furnishings (domestic services - Other Domestic Srvices) In Cash         
g056219           Non-Durable Furnishings (domestic services - Other Domestic Srvices) In Kind         
t056230           Non-Durable Furnishings (houseold services) Expenditure         
c056230           Non-Durable Furnishings (household services) In Cash         
g056230           Non-Durable Furnishings (household services) In Kind         
t056240           Non-Durable Furnishings (dry-cleaning) Expenditure         
c056240           Non-Durable Furnishings (dry-cleaning) In Cash         
g056240           Non-Durable Furnishings (dry-cleaning) In Kind         
t056250           Non-Durable Furnishings (hire of furniture) Expenditure         
c056250           Non-Durable Furnishings (hire of furniture) In Cash         
g056250           Non-Durable Furnishings (hire of furniture) In Kind         
thealth           Medical Care Expenditure         
chealth           Medical Care In Cash         
ghealth           Medical Care Received as Gifts         
tmedprod          Medical Care (medical products, appliances and equipment) Expenditure         
cmedprod          Medical Care (medical products, appliances and equipment) In Cash         
gmedprod          Medical Care (medical products, appliances and equipment) Received as Gifts         
tmedprep          Medical Care (medical products, appliances and equipment - pharmaceutical produc         
cmedprep          Medical Care (medical products, appliances and equipment - pharmaceutical produc         
gmedprep          Medical Care (medical products, appliances and equipment - pharmaceutical produc         
tmedpharm         Medical Care (medical products, appliances and equipment - medicinal prep) Expen         
cmedpharm         Medical Care (medical products, appliances and equipment - medicinal prep) In Ca         
gmedpharm         Medical Care (medical products, appliances and equipment - medicinal prep) Recei         
tmednutri         Medical Care (medical products, appliances and equipment - nutrition) Expenditur         
cmednutri         Medical Care (medical products, appliances and equipment - nutrition) In Cash         
gmednutri         Medical Care (medical products, appliances and equipment - nutrition) Received a         
tmedother         Medical Care (medical products, appliances and equipment - other medicinal prep)         
cmedother         Medical Care (medical products, appliances and equipment - other medicinal prep)         
gmedother         Medical Care (medical products, appliances and equipment - other medicinal prep)         
tmedotherprod     Medical Care (medical products, appliances and equipment - other medical product         
cmedotherprod     Medical Care (medical products, appliances and equipment - other medical product         
gmedotherprod     Medical Care (medical products, appliances and equipment - other medical product         
ttherapeutic      Medical Care (medical products, appliances and equipment - therapeutic appliance         
ctherapeutic      Medical Care (medical products, appliances and equipment - therapeutic appliance         
gtherapeutic      Medical Care (medical products, appliances and equipment - therapeutic appliance         
toutpatient       Medical Care (outpatient medical services) Expenditure         
coutpatient       Medical Care (outpatient medical services) In Cash         
goutpatient       Medical Care (outpatient medical services) Received as Gifts         
tmedservices      Medical Care (medical services) Expenditure         
cmedservices      Medical Care (medical services) In Cash         
gmedservices      Medical Care (medical services) Received as Gifts         
tmedgeneral       Medical Care (medical services - general medical) Expenditure         
cmedgeneral       Medical Care (medical services - general medical) In Cash         
gmedgeneral       Medical Care (medical services - general medical) Received as Gifts         
tmedspecial       Medical Care (medical services - specialized medical) Expenditure         
cmedspecial       Medical Care (medical services - specialized medical) In Cash         
gmedspecial       Medical Care (medical services - specialized medical) Received as Gifts         
tdental           Medical Care (dental services) Expenditure         
cdental           Medical Care (dental services) In Cash         
gdental           Medical Care (dental services) Received as Gifts         
tdentalpub        Medical Care (dental services - public) Expenditure         
cdentalpub        Medical Care (dental services - public) In Cash         
gdentalpub        Medical Care (dental services - public) Received as Gifts         
tdentalpriv       Medical Care (dental services - private) Expenditure         
cdentalpriv       Medical Care (dental services - private) In Cash         
gdentalpriv       Medical Care (dental services - private) Received as Gifts         
tparamedical      Medical Care (paramedical services) Expenditure         
cparamedical      Medical Care (paramedical services) In Cash         
gparamedical      Medical Care (paramedical services) Received as Gifts         
tparamanalysis    Medical Care (paramedical services - medical analysis) Expenditure         
cparamanalysis    Medical Care (paramedical services - medical analysis) In Cash         
gparamanalysis    Medical Care (paramedical services - medical analysis) Received as Gifts         
tmfreelance       Medical Care (paramedical services - freelance) Expenditure         
cmfreelance       Medical Care (paramedical services - freelance) In Cash         
gmfreelance       Medical Care (paramedical services - freelance) Received as Gifts         
tparamother       Medical Care (paramedical services - other) Expenditure         
cparamother       Medical Care (paramedical services - other) In Cash         
gmparamother      Medical Care (paramedical services - other) Received as Gifts         
tinpatient        Medical Care (hospital in-patient services) Expenditure         
cinpatient        Medical Care (hospital in-patient services) In Cash         
ginpatient        Medical Care (hospital in-patient services) Received as Gifts         
tinpatientpub     Medical Care (hospital in-patient services - public) Expenditure         
cinpatientpub     Medical Care (hospital in-patient services - public) In Cash         
ginpatientpub     Medical Care (hospital in-patient services - public) Received as Gifts         
tinpatientpriv    Medical Care (hospital in-patient services - private) Expenditure         
cinpatientpriv    Medical Care (hospital in-patient services - private) In Cash         
ginpatientpriv    Medical Care (hospital in-patient services - private) Received as Gifts         
ttransport        Transportation Expenditure         
ctransport        Transportation In Cash         
gtransport        Transportation Received as Gifts         
ttranspopersonal  Transportation (operation of personal transport) Expenditure         
ctranspopersonal  Transportation (operation of personal transport) In Cash         
gtranspopersonal  Transportation (operation of personal transport) Received as Gifts         
ttranspoparts     Transportation (operation of personal transport - spare parts) Expenditure         
ctranspoparts     Transportation (operation of personal transport - spare parts) In Cash         
gtranspoparts     Transportation (operation of personal transport - spare parts) Received as Gifts         
ttires            Transportation (tires) Expenditure         
ctires            Transportation (tires) In Cash         
gtires            Transportation (tires) Received as Gifts         
tbatteries        Transportation (batteries) Expenditure         
cbatteries        Transportation (batteries) In Cash         
gbatteries        Transportation (batteries) Received as Gifts         
tothspare         Transportation (other spare part) Expenditure         
cothspare         Transportation (other spare part) In Cash         
gothspare         Transportation (other spare part) Received as Gifts         
ttranspolubricant Transportation (operation of personal transport - fuel and lubricant) Expenditur         
ctranspolubricant Transportation (operation of personal transport - fuel and lubricant) In Cash         
gtranspolubricant Transportation (operation of personal transport - fuel and lubricant) Received a         
tfueltranspo      Transportation (fuels for personal transport) Expenditure         
cfueltranspo      Transportation (fuels for personal transport) In Cash         
gfueltranspo      Transportation (fuels for personal transport) Received as Gifts         
tdiesel           Transportation (diesel) Expenditure         
cdiesel           Transportation (diesel) In Cash         
gdiesel           Transportation (diesel) Received as Gifts         
tgasoline         Transportation (gasoline) Expenditure         
cgasoline         Transportation (gasoline) In Cash         
ggasoline         Transportation (gasoline) Received as Gifts         
tbiofuel          Transportation (biofuel) Expenditure         
cbiofuel          Transportation (biofuel) In Cash         
gbiofuel          Transportation (biofuel) Received as Gifts         
totherfuel        Transportation (other fuels) Expenditure         
cotherfuel        Transportation (other fuels) In Cash         
gotherfuel        Transportation (other fuels) Received as Gifts         
tlubricant        Transportation (lubricants) Expenditure         
clubricant        Transportation (lubricants) In Cash         
glubricant        Transportation (lubricants) Received as Gifts         
totherlube        Transportation (other fuel and lubricants) Expenditure         
cotherlube        Transportation (other fuel and lubricants) In Cash         
gotherlube        Transportation (other fuel and lubricants) Received as Gifts         
ttranspomaintain  Transportation (operation of personal transport - maintenance and repair) Expend         
ctranspomaintain  Transportation (operation of personal transport - maintenance and repair) In Cas         
gtranspomaintain  Transportation (operation of personal transport - maintenance and repair) Receiv         
ttranspootherserv Transportation (operation of personal transport - other services) Expenditure         
ctranspootherserv Transportation (operation of personal transport - other services) In Cash         
gtranspootherserv Transportation (operation of personal transport - other services) Received as Gi         
